task,size,cpu_time_ms,cpu_std_ms,gpu_time_ms,gpu_std_ms,speedup,optimal_device,label,num_cpu_threads
VectorAddition,1000,16.899405496875627,0.15860086736562234,0.043710522778831945,0.004567767356228451,386.6209878656414,GPU,1,1
VectorAddition,1258,22.855441713146234,0.17439404075388265,0.06003008770399507,0.005554242525970972,380.73310546946243,GPU,1,1
VectorAddition,1584,29.701498470309446,0.23330900759096232,0.06275779744209889,0.007334792491580877,473.27184319545967,GPU,1,1
VectorAddition,1995,38.85642049859264,0.32697211473080307,0.08038231060935846,0.007581077655171402,483.3951674694557,GPU,1,1
VectorAddition,2511,45.0592840078549,0.41329445380858776,0.09947409371007067,0.010341406647423128,452.97506443422,GPU,1,1
VectorAddition,3162,58.82304258890561,0.5203091831192098,0.1276291163250177,0.010467921685976942,460.89046357657173,GPU,1,1
VectorAddition,3981,80.25672214402024,0.6366618573387341,0.142456350496647,0.011281448795170915,563.377637179532,GPU,1,1
VectorAddition,5011,89.025620752342,0.6405959174432565,0.18059123159738238,0.013319792911294046,492.96757082215055,GPU,1,1
VectorAddition,6309,117.71351810153497,0.8247844730028591,0.21801194234455198,0.01634433760312398,539.9406878156121,GPU,1,1
VectorAddition,7943,162.60445127074996,0.955689793573244,0.262045671311555,0.0264081217908711,620.5195088966916,GPU,1,1
VectorAddition,10000,190.08211722186735,1.3757158353191923,0.27865674773318705,0.027483112751657362,682.1371410100228,GPU,1,1
VectorAddition,12589,235.09737048976154,1.8474548275502034,0.3755906612577312,0.03683780253733132,625.9404046482326,GPU,1,1
VectorAddition,15848,298.40808617394316,2.549478610194072,0.3837023645328345,0.0406951021315816,777.70718597802,GPU,1,1
VectorAddition,19952,370.21008646320604,2.3030318862490082,0.5111638105250161,0.046600865985213846,724.2494066294784,GPU,1,1
VectorAddition,25118,473.3630657210622,3.752726253262386,0.6252718864023447,0.05412319078243844,757.0515739075889,GPU,1,1
VectorAddition,31622,576.7503268965846,4.179140278496323,0.6754418033918286,0.07050630331711656,853.8860402189346,GPU,1,1
VectorAddition,39810,800.096033287804,6.123367584286622,0.8970820519819754,0.06980909232166205,891.8872376502298,GPU,1,1
VectorAddition,50118,983.2207054649856,8.13871398059742,1.0547228414260725,0.11055361702061475,932.2076538473272,GPU,1,1
VectorAddition,63095,124.14385638351375,0.8180133342650888,0.1834401138802032,0.012319085193694972,676.7541393077564,GPU,1,1
VectorAddition,79432,153.7159059716039,1.295966461495514,0.25151566287389315,0.015670972109383938,611.158383598063,GPU,1,1
VectorAddition,100000,192.7553143942457,1.864430494182482,0.27985221445712816,0.019449238678367863,688.7753765613842,GPU,1,1
VectorAddition,125892,213.38036409285073,1.6799769402445688,0.37871111076900177,0.018358119863594792,563.4383518866548,GPU,1,1
VectorAddition,158489,309.7139621795185,2.1825255878770524,0.44753436010171854,0.020724071226286715,692.0451026578712,GPU,1,1
VectorAddition,199526,347.3651338818842,2.9202545633587413,0.5527806399006119,0.02282729246356412,628.3959835213102,GPU,1,1
VectorAddition,251188,450.55013246771574,3.574239978155983,0.6550970478357939,0.03745953992931974,687.7608958186761,GPU,1,1
VectorAddition,316227,531.9812640087044,4.90754191013022,0.7692587443970512,0.047703419836511794,691.5504930992679,GPU,1,1
VectorAddition,398107,779.2530113506389,5.6743685302516536,0.842425329439298,0.054361969393949626,925.0113738499465,GPU,1,1
VectorAddition,501187,932.3988422175266,9.413151262035491,1.1528501613682027,0.05928434105523789,808.7771277326757,GPU,1,1
VectorAddition,630957,120.8101944139959,7.4217190121323116,0.5935355993817977,0.009896002813413886,203.5432997444919,GPU,1,1
VectorAddition,794328,153.00882794686999,11.331711235335929,0.6983429748983921,0.01009409502273386,219.1026951608306,GPU,1,1
